,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-6842-5p,3,1,5,26,2,3,7,9,3,0,5,26,3,2,2,98
miR-6843-3p,2,4,5,72,7,7,10,21,12,7,7,39,7,7,4,79
miR-6844,0,1,1,14,1,1,6,6,2,0,2,12,2,0,0,23
miR-6845-5p,304,465,585,941,185,189,746,713,172,296,761,355,264,186,599,722
miR-6846-3p,16,7,9,95,13,9,10,22,20,21,24,38,18,10,17,68
miR-6846-5p,20,14,15,51,8,18,14,38,14,25,25,35,23,10,138,109
miR-6847-3p,8,5,4,48,4,2,12,14,5,4,4,23,2,0,3,73
miR-6847-5p,9,13,12,106,9,9,30,20,13,11,14,45,12,7,8,127
miR-6848-3p,242,57,22,222,2690,33,5766,4219,205,723,5255,76,2267,8,3299,5349
miR-6848-5p,27,27,45,111,34,14,53,76,23,24,69,37,19,19,202,232
miR-6849-3p,26,18,23,299,38,20,71,60,26,32,52,53,32,12,42,240
miR-6849-5p,12,9,14,62,9,3,10,49,13,6,9,67,9,4,88,207
miR-6851-3p,23,8,10,159,11,9,12,26,16,17,10,39,16,8,9,95
miR-6851-5p,41,61,70,234,31,45,52,87,26,36,40,84,40,38,108,250
miR-6852-3p,58,30,10,91,91,12,286,146,53,75,207,50,82,12,160,218
miR-6852-5p,14,16,8,92,13,9,24,48,13,16,23,42,18,8,17,125
miR-6853-3p,3,2,7,68,1,3,24,21,3,2,13,35,5,1,20,83
miR-6853-5p,3,3,6,104,8,6,7,59,8,3,156,42,7,2,6,84
miR-6854-3p,4,11,7,57,3,5,22,17,6,6,5,25,6,3,6,84
miR-6854-5p,7,7,12,87,76,5,227,160,16,23,210,69,61,3,141,346
miR-6855-3p,1,1,5,57,2,5,4,16,8,5,6,15,6,2,4,73
miR-6855-5p,6,2,3,28,3,1,13,11,4,4,6,16,4,4,9,65
miR-6856-3p,4,4,5,56,10,2,10,21,6,2,11,24,4,1,4,81
miR-6856-5p,25,17,27,233,28,18,49,118,16,25,32,106,33,6,75,351
miR-6857-3p,6,3,2,85,7,6,26,25,7,7,13,30,10,3,16,102
miR-6857-5p,15,7,15,170,9,6,15,31,11,7,10,47,7,2,4,153
miR-6859-3p,9,6,61,119,12,2,19,27,7,5,21,25,10,4,10,62
miR-6859-5p,32,66,202,227,23,27,108,180,19,34,69,86,42,19,152,198
miR-6861-3p,10,8,10,199,18,8,33,42,17,19,35,59,12,7,23,142
miR-6862-3p,99,39,64,602,113,32,226,412,55,85,205,122,92,18,128,1117
miR-6862-5p,27,34,31,114,18,17,39,59,21,13,20,59,23,10,30,132
miR-6863,6,2,0,14,1,3,7,10,9,1,1,24,2,0,3,77
miR-6864-3p,142,76,39,214,182,59,593,312,86,154,420,120,171,27,311,630
miR-6864-5p,4,2,4,85,3,0,29,84,9,3,22,54,5,0,657,251
miR-6865-5p,53,95,103,312,72,53,202,574,43,70,227,90,109,44,1825,754
miR-6866-3p,4,7,4,24,2,2,8,9,5,5,1,14,4,2,2,58
miR-6866-5p,1,1,1,7,2,2,4,3,3,1,0,12,5,0,1,23
miR-6867-3p,10,6,8,54,4,7,11,11,11,13,8,39,7,10,4,60
miR-6867-5p,4,6,6,35,2,1,11,13,9,3,6,22,3,3,15,87
miR-6868-3p,2,4,4,49,5,3,11,17,15,1,1,27,3,0,5,77
